ref,word,num,dep,label,dep2,label2
22b.194,"NiineyeixouuP,",1,,,,
22b.194,niineyeixouubeso'onoot.,2,,,,
22b.195,"ne'nii'bisiini,",1,,,,
22b.195,bisiihi',2,,,,
22b.195,"booboo3etiitooni',",3,,,,
22b.195,nuhu',4,,,,
22b.195,tei'yoonoh'o'.,5,,,,
22b.196,"Neeyeiniiteheibetiitooni',",1,,,,
22b.196,'oh,2,,,,
22b.196,kohtowunihiitooni'.,3,,,,
22b.197,Howoo,1,,,,
22b.197,noosounee'eesoo',2,,,,
22b.197,hiiwoonhehe'.,3,,,,
22b.197,Nuh'uuno,4,,,,
22b.197,"COEs,",5,,,,
22b.197,noosouP,6,,,,
22b.197,boo3oniini,7,,,,
22b.197,booboo3etiitooni'.,8,,,,
22b.198,yeah.,1,,,,
22b.199,"huut,",1,,,,
22b.199,howoo,2,,,,
22b.199,hini'iit,3,,,,
22b.199,huu3e',4,,,,
22b.199,konouutosei'.,5,,,,
22b.200,Wootii,1,,,,
22b.200,hiiwoonhehe',2,,,,
22b.200,"konouutosei'i3i',",3,,,,
22b.200,wootii,4,,,,
22b.200,nenee3i',5,,,,
22b.200,ceebkoohuutii3i'.,6,,,,
22b.201,yeah.,1,,,,
22b.202,nenee3i',1,,,,
22b.202,niibeetP.,2,,,,
22b.203,'oh,1,,,,
22b.203,hoowuuni.,2,,,,
22b.204,Yeah,1,,,,
22b.204,beebeet,2,,,,
22b.204,neni'P,3,,,,
22b.204,neniisini',4,,,,
22b.204,"neneeninoo,",5,,,,
22b.204,"Leonard,",6,,,,
22b.204,"Joe,",7,,,,
22b.204,the,8,,,,
22b.204,three,9,,,,
22b.204,of,10,,,,
22b.204,"us,",11,,,,
22b.204,"nee'eetoxuni',",12,,,,
22b.204,huut,13,,,,
22b.204,on,14,,,,
22b.204,this,15,,,,
22b.204,side.,16,,,,
22b.206,XXX,1,,,,
22b.207,Huu3e',1,,,,
22b.207,wonoo3ee3i',2,,,,
22b.207,hinee,3,,,,
22b.207,konouuP,4,,,,
22b.207,konouutosei'.,5,,,,
22b.208,Wohei,1,,,,
22b.208,niico'oniini,2,,,,
22b.208,niico'oniini,3,,,,
22b.208,wootii,4,,,,
22b.208,hooyoo3eino',5,,,,
22b.208,you,6,,,,
22b.208,know.,7,,,,
22b.209,'oh,1,,,,
22b.209,neihoownohkco'oono',2,,,,
22b.209,neneeninoo.,3,,,,
22b.210,Noonoxuutuu-,1,,,,
22b.210,noonohkuuhetinoo,2,,,,
22b.210,nuhu',3,,,,
22b.210,konoutosei'i3i'.,4,,,,
22b.210,howoo,5,,,,
22b.210,nee'eeteihtwoow,6,,,,
22b.210,neinoo,7,,,,
22b.210,XXX.,8,,,,
22b.211,yeah.,1,,,,
22b.212,nee'eeteiht,1,,,,
22b.212,XXX,2,,,,
22b.212,you,3,,,,
22b.212,"know,",4,,,,
22b.212,"koh'uuhu',",5,,,,
22b.212,you,6,,,,
22b.212,know.,7,,,,
22b.213,'oh,1,,,,
22b.213,"huutiino,",2,,,,
22b.213,nih'iiceecesisoo',3,,,,
22b.213,"nuhu',",4,,,,
22b.213,nuhu',5,,,,
22b.213,hee3e'inowoo;,6,,,,
22b.213,noh,7,,,,
22b.213,neneenit,8,,,,
22b.213,hinee,9,,,,
22b.213,nih'eeneitenou'u,10,,,,
22b.213,nuhu'.,11,,,,
22b.214,huutiino,1,,,,
22b.214,ne'niitceecesisoo',2,,,,
22b.214,"nuhu',",3,,,,
22b.214,nuhu',4,,,,
22b.214,betooot,5,,,,
22b.214,wo'ei3,6,,,,
22b.214,nuhu',7,,,,
22b.214,hoseihoowu'.,8,,,,
22b.215,'oh,1,,,,
22b.215,huu3e',2,,,,
22b.215,ne'nee'eetou',3,,,,
22b.215,hiiwoonhehe'.,4,,,,
22b.216,yeah.,1,,,,
22b.217,yeah.,1,,,,
22b.218,Ceecei'soo'.,1,,,,
22b.219,Yeah.,1,,,,
22b.220,noh,1,,,,
22b.220,hoowu'un,2,,,,
22b.220,nee'eeneestootiin.,3,,,,
22b.220,Wootii,4,,,,
22b.220,nehe',5,,,,
22b.220,hiicooo,6,,,,
22b.220,hoowu'unnee'eesiini.,7,,,,
22b.222,Nooxeihi',1,,,,
22b.222,nee'eeneestoo3i'.,2,,,,
22b.223,yeah.,1,,,,
